X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
,,"499264038",way,21.875,hospital,hospital,Poste de Santé de Krakondji,,"Digital Globe Premium Imagery Service;UNICEF",,government,,,,,,,,,,,,,,,,,,,Krakondji,84320144,3,2020/04/29 08:19:15+00,488390872a2948cf87dbeec379226936
,,"435849329",way,18.75,doctors,,Centre de Santé de Yenga,,UNICEF,,private,,,,,,,,,,,,,,,,,,,Yenga,88789830,4,2020/07/31 15:40:17+00,5f19e30b74da452aa0bb9ab3beeaf42b
,,"261559280",way,18.75,doctors,,Poste de Santé de Borodoul,,"Bing;UNICEF",,government,,,,,,,,,,,,,,,,,,,Borodoul,88789830,5,2020/07/31 15:40:17+00,219425b49fba4c44897251e047e87fe2
,,"256434593",way,21.875,hospital,hospital,Centre de Santé de Kouango,,"Bing;UNICEF",,government,,,,,,,,,,,,,,,,,,,Kouango,84209828,3,2020/04/27 16:18:11+00,a8b3ddf9958541a7bb0a1a2eca8afab2
18.5048513954708,6.94981055082596,"2590484752",node,21.875,hospital,hospital,Poste de Santé de Boya,,"UNICEF,2012",,government,,,,,,,,,,,,,,,,,,,Boya 1,176199915,7,2025/12/20 23:24:07+00,7ade224140f540f9ab472efab5cf5b76
,,"784201264",way,18.75,doctors,,SMI Bohong,,UNICEF,,government,,,,,,,,,,,,,,,,,,,Bohong,98469292,3,2021/01/31 22:22:55+00,240191f0495d4eb2af270e655c27f49f
,,"278482030",way,21.875,hospital,hospital,Kounpala,,"Bing;UNICEF",,government,,,,,,,,,,,,,,,,,,,Kounpala,84259872,5,2020/04/28 10:43:50+00,305b4b11f30c468591021b2b9e923cc0
21.1229610637614,5.89820574692661,"2666392857",node,18.75,hospital,,Centre de Santé de Seko,,UNICEF,,government,,,,,,,,,,,,,,,,,,,Seko,20496902,1,2014/02/11 03:47:15+00,a305888f542241bfb54cfc771d35f4dc
17.3761753271671,6.81768988004407,"2590317902",node,18.75,hospital,,Poste de Santé de Bokongo,,"UNICEF,2012",,government,,,,,,,,,,,,,,,,,,,Bokongo,141327887,6,2023/09/16 06:22:04+00,bf94be8f86b64ef08101ab47bc4cd375
,,"238383113",way,18.75,doctors,,Poste de Santé de Nzakoun,,UNICEF,,government,,,,,,,,,,,,,,,,,,,Nzakoun,88789830,4,2020/07/31 15:40:17+00,9737378f990e47e0b397e97bde621cf9
